Location,Address,Full Address,City,City Name,Latitude,Latitude Value,Longitude,Longitude Value,Labels,Label 1,Label 2,Label 3,Label 4,Full Labels,Coupon,Coupon String
Location,Address,22 Beacon St,City, Boston,Latitude,42.357872,Longitude,-71.062811,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,200 Terminal Dr,City, East Boston,Latitude,42.366257,Longitude,-71.016062,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,100 Service Rd,City, East Boston,Latitude,42.369441,Longitude,-71.023596,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,417 Washington St Suite M,City, Boston,Latitude,42.355852,Longitude,-71.06019,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,16 Tremont St.,City, Boston,Latitude,42.358925,Longitude,-71.059678,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,100 Harborside Dr,City, East Boston,Latitude,42.347702,Longitude,-71.035737,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,100 Harborside Dr,City, East Boston,Latitude,42.347702,Longitude,-71.035737,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,1 Summer St,City, Boston,Latitude,42.354451,Longitude,-71.059483,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,180 Canal St,City, Boston,Latitude,42.365169,Longitude,-71.061017,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,59 Causeway St,City, Boston,Latitude,42.364365,Longitude,-71.062883,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
